Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,9.590000,9.590000,9.590000,9.590000,9.376324,0
2023-06-21,9.600000,9.600000,9.600000,9.600000,9.386102,0
2023-06-22,9.550000,9.550000,9.550000,9.550000,9.337216,0
2023-06-23,9.580000,9.580000,9.580000,9.580000,9.366546,0
2023-06-26,9.600000,9.600000,9.600000,9.600000,9.386102,0
2023-06-27,9.570000,9.570000,9.570000,9.570000,9.356769,0
2023-06-28,9.600000,9.600000,9.600000,9.600000,9.386102,0
2023-06-29,9.530000,9.530000,9.530000,9.530000,9.317660,0
2023-06-30,9.550000,9.550000,9.550000,9.550000,9.361775,0
2023-07-03,9.530000,9.530000,9.530000,9.530000,9.342168,0
2023-07-05,9.490000,9.490000,9.490000,9.490000,9.302957,0
2023-07-06,9.430000,9.430000,9.430000,9.430000,9.244141,0
2023-07-07,9.420000,9.420000,9.420000,9.420000,9.234337,0
2023-07-10,9.420000,9.420000,9.420000,9.420000,9.234337,0
2023-07-11,9.470000,9.470000,9.470000,9.470000,9.283350,0
2023-07-12,9.540000,9.540000,9.540000,9.540000,9.351973,0
2023-07-13,9.600000,9.600000,9.600000,9.600000,9.410788,0
2023-07-14,9.560000,9.560000,9.560000,9.560000,9.371576,0
2023-07-17,9.570000,9.570000,9.570000,9.570000,9.381379,0
2023-07-18,9.580000,9.580000,9.580000,9.580000,9.391182,0
2023-07-19,9.610000,9.610000,9.610000,9.610000,9.420591,0
2023-07-20,9.550000,9.550000,9.550000,9.550000,9.361775,0
2023-07-21,9.560000,9.560000,9.560000,9.560000,9.371576,0
2023-07-24,9.540000,9.540000,9.540000,9.540000,9.351973,0
2023-07-25,9.530000,9.530000,9.530000,9.530000,9.342168,0
2023-07-26,9.560000,9.560000,9.560000,9.560000,9.371576,0
2023-07-27,9.480000,9.480000,9.480000,9.480000,9.293155,0
2023-07-28,9.510000,9.510000,9.510000,9.510000,9.322562,0
2023-07-31,9.520000,9.520000,9.520000,9.520000,9.356964,0
2023-08-01,9.470000,9.470000,9.470000,9.470000,9.307818,0
2023-08-02,9.440000,9.440000,9.440000,9.440000,9.278333,0
2023-08-03,9.380000,9.380000,9.380000,9.380000,9.219361,0
2023-08-04,9.450000,9.450000,9.450000,9.450000,9.288161,0
2023-08-07,9.440000,9.440000,9.440000,9.440000,9.278333,0
2023-08-08,9.470000,9.470000,9.470000,9.470000,9.307818,0
2023-08-09,9.470000,9.470000,9.470000,9.470000,9.307818,0
2023-08-10,9.420000,9.420000,9.420000,9.420000,9.258676,0
2023-08-11,9.380000,9.380000,9.380000,9.380000,9.219361,0
2023-08-14,9.370000,9.370000,9.370000,9.370000,9.209532,0
2023-08-15,9.350000,9.350000,9.350000,9.350000,9.189876,0
2023-08-16,9.320000,9.320000,9.320000,9.320000,9.160388,0
2023-08-17,9.310000,9.310000,9.310000,9.310000,9.150559,0
2023-08-18,9.330000,9.330000,9.330000,9.330000,9.170217,0
2023-08-21,9.290000,9.290000,9.290000,9.290000,9.130901,0
2023-08-22,9.290000,9.290000,9.290000,9.290000,9.130901,0
2023-08-23,9.380000,9.380000,9.380000,9.380000,9.219361,0
2023-08-24,9.350000,9.350000,9.350000,9.350000,9.189876,0
2023-08-25,9.350000,9.350000,9.350000,9.350000,9.189876,0
2023-08-28,9.370000,9.370000,9.370000,9.370000,9.209532,0
2023-08-29,9.430000,9.430000,9.430000,9.430000,9.268505,0
2023-08-30,9.420000,9.420000,9.420000,9.420000,9.258676,0
2023-08-31,9.440000,9.440000,9.440000,9.440000,9.304013,0
2023-09-01,9.390000,9.390000,9.390000,9.390000,9.254733,0
2023-09-05,9.340000,9.340000,9.340000,9.340000,9.205454,0
2023-09-06,9.330000,9.330000,9.330000,9.330000,9.195598,0
2023-09-07,9.350000,9.350000,9.350000,9.350000,9.215310,0
2023-09-08,9.360000,9.360000,9.360000,9.360000,9.225164,0
2023-09-11,9.340000,9.340000,9.340000,9.340000,9.205454,0
2023-09-12,9.350000,9.350000,9.350000,9.350000,9.215310,0
2023-09-13,9.360000,9.360000,9.360000,9.360000,9.225164,0
2023-09-14,9.340000,9.340000,9.340000,9.340000,9.205454,0
2023-09-15,9.320000,9.320000,9.320000,9.320000,9.185741,0
2023-09-18,9.330000,9.330000,9.330000,9.330000,9.195598,0
2023-09-19,9.300000,9.300000,9.300000,9.300000,9.166030,0
2023-09-20,9.300000,9.300000,9.300000,9.300000,9.166030,0
2023-09-21,9.240000,9.240000,9.240000,9.240000,9.106894,0
2023-09-22,9.270000,9.270000,9.270000,9.270000,9.136462,0
2023-09-25,9.210000,9.210000,9.210000,9.210000,9.077327,0
2023-09-26,9.200000,9.200000,9.200000,9.200000,9.067470,0
2023-09-27,9.160000,9.160000,9.160000,9.160000,9.028047,0
2023-09-28,9.180000,9.180000,9.180000,9.180000,9.047758,0
2023-09-29,9.180000,9.180000,9.180000,9.180000,9.073457,0
2023-10-02,9.110000,9.110000,9.110000,9.110000,9.004269,0
2023-10-03,9.040000,9.040000,9.040000,9.040000,8.935081,0
2023-10-04,9.100000,9.100000,9.100000,9.100000,8.994386,0
2023-10-05,9.100000,9.100000,9.100000,9.100000,8.994386,0
2023-10-06,9.060000,9.060000,9.060000,9.060000,8.954850,0
2023-10-09,9.140000,9.140000,9.140000,9.140000,9.033922,0
2023-10-10,9.140000,9.140000,9.140000,9.140000,9.033922,0
2023-10-11,9.180000,9.180000,9.180000,9.180000,9.073457,0
2023-10-12,9.110000,9.110000,9.110000,9.110000,9.004269,0
2023-10-13,9.150000,9.150000,9.150000,9.150000,9.043805,0
2023-10-16,9.100000,9.100000,9.100000,9.100000,8.994386,0
2023-10-17,9.040000,9.040000,9.040000,9.040000,8.935081,0
2023-10-18,9.000000,9.000000,9.000000,9.000000,8.895545,0
2023-10-19,8.960000,8.960000,8.960000,8.960000,8.856010,0
2023-10-20,8.990000,8.990000,8.990000,8.990000,8.885661,0
2023-10-23,9.020000,9.020000,9.020000,9.020000,8.915314,0
2023-10-24,9.050000,9.050000,9.050000,9.050000,8.944966,0
2023-10-25,8.980000,8.980000,8.980000,8.980000,8.875777,0
2023-10-26,9.040000,9.040000,9.040000,9.040000,8.935081,0
2023-10-27,9.040000,9.040000,9.040000,9.040000,8.935081,0
2023-10-30,9.020000,9.020000,9.020000,9.020000,8.915314,0
2023-10-31,9.010000,9.010000,9.010000,9.010000,8.932167,0
2023-11-01,9.090000,9.090000,9.090000,9.090000,9.011476,0
2023-11-02,9.140000,9.140000,9.140000,9.140000,9.061045,0
2023-11-03,9.200000,9.200000,9.200000,9.200000,9.120525,0
2023-11-06,9.160000,9.160000,9.160000,9.160000,9.080871,0
2023-11-07,9.200000,9.200000,9.200000,9.200000,9.120525,0
2023-11-08,9.240000,9.240000,9.240000,9.240000,9.160179,0
2023-11-09,9.160000,9.160000,9.160000,9.160000,9.080871,0
2023-11-10,9.180000,9.180000,9.180000,9.180000,9.100698,0
2023-11-13,9.180000,9.180000,9.180000,9.180000,9.100698,0
2023-11-14,9.280000,9.280000,9.280000,9.280000,9.199834,0
2023-11-15,9.230000,9.230000,9.230000,9.230000,9.150266,0
2023-11-16,9.280000,9.280000,9.280000,9.280000,9.199834,0
2023-11-17,9.300000,9.300000,9.300000,9.300000,9.219662,0
2023-11-20,9.310000,9.310000,9.310000,9.310000,9.229575,0
2023-11-21,9.320000,9.320000,9.320000,9.320000,9.239489,0
2023-11-22,9.320000,9.320000,9.320000,9.320000,9.239489,0
2023-11-24,9.280000,9.280000,9.280000,9.280000,9.199834,0
2023-11-27,9.340000,9.340000,9.340000,9.340000,9.259316,0
2023-11-28,9.370000,9.370000,9.370000,9.370000,9.289058,0
2023-11-29,9.420000,9.420000,9.420000,9.420000,9.338625,0
2023-11-30,9.390000,9.390000,9.390000,9.390000,9.335643,0
2023-12-01,9.460000,9.460000,9.460000,9.460000,9.405237,0
2023-12-04,9.430000,9.430000,9.430000,9.430000,9.375412,0
2023-12-05,9.490000,9.490000,9.490000,9.490000,9.435063,0
2023-12-06,9.520000,9.520000,9.520000,9.520000,9.464890,0
2023-12-07,9.510000,9.510000,9.510000,9.510000,9.454948,0
2023-12-08,9.470000,9.470000,9.470000,9.470000,9.415179,0
2023-12-11,9.470000,9.470000,9.470000,9.470000,9.415179,0
2023-12-12,9.490000,9.490000,9.490000,9.490000,9.435063,0
2023-12-13,9.600000,9.600000,9.600000,9.600000,9.544427,0
2023-12-14,9.680000,9.680000,9.680000,9.680000,9.623964,0
2023-12-15,9.670000,9.670000,9.670000,9.670000,9.614021,0
2023-12-18,9.650000,9.650000,9.650000,9.650000,9.594136,0
2023-12-19,9.660000,9.660000,9.660000,9.660000,9.604079,0
2023-12-20,9.690000,9.690000,9.690000,9.690000,9.633905,0
2023-12-21,9.680000,9.680000,9.680000,9.680000,9.623964,0
2023-12-22,9.680000,9.680000,9.680000,9.680000,9.623964,0
2023-12-26,9.680000,9.680000,9.680000,9.680000,9.623964,0
2023-12-27,9.740000,9.740000,9.740000,9.740000,9.683616,0
2023-12-28,9.710000,9.710000,9.710000,9.710000,9.653790,0
2023-12-29,9.710000,9.710000,9.710000,9.710000,9.681708,0
2024-01-02,9.660000,9.660000,9.660000,9.660000,9.631854,0
2024-01-03,9.660000,9.660000,9.660000,9.660000,9.631854,0
2024-01-04,9.610000,9.610000,9.610000,9.610000,9.582000,0
2024-01-05,9.590000,9.590000,9.590000,9.590000,9.562058,0
2024-01-08,9.630000,9.630000,9.630000,9.630000,9.601942,0
2024-01-09,9.620000,9.620000,9.620000,9.620000,9.591970,0
2024-01-10,9.610000,9.610000,9.610000,9.610000,9.582000,0
2024-01-11,9.650000,9.650000,9.650000,9.650000,9.621882,0
2024-01-12,9.670000,9.670000,9.670000,9.670000,9.641825,0
2024-01-16,9.610000,9.610000,9.610000,9.610000,9.582000,0
2024-01-17,9.580000,9.580000,9.580000,9.580000,9.552087,0
